"","NEAR_FID","NEAR_DIST","NEAR_RANK","key","SITE_NAME","GIS_AREA","EPA_ID","n"
"17",0,353049.450043,2,"VASQUEZ BOULEVARD AND I-70 Vasquez Boulevard and 1-70 Site Boundary","VASQUEZ BOULEVARD AND I-70",2227.83619859,"CO0002259588",1
"18",0,353553.357552,2,"ROCKY FLATS INDUSTRIAL PARK (THORO - AERRCO - GWI) NA","ROCKY FLATS INDUSTRIAL PARK (THORO - AERRCO - GWI)",9.00610181,"COD980807374",1
"19",0,353553.357552,2,"ROCKY FLATS INDUSTRIAL PARK (THORO - AERRCO - GWI) NA","ROCKY FLATS INDUSTRIAL PARK (THORO - AERRCO - GWI)",12.41104973,"COD980807374",1
"20",0,353598.462261,2,"ROCKY FLATS INDUSTRIAL PARK (THORO - AERRCO - GWI) NA","ROCKY FLATS INDUSTRIAL PARK (THORO - AERRCO - GWI)",3.40476966,"COD980807374",1
"21",0,353670.444274,2,"ROCKY FLATS INDUSTRIAL PARK (THORO - AERRCO - GWI) NA","ROCKY FLATS INDUSTRIAL PARK (THORO - AERRCO - GWI)",5.68063217,"COD980807374",1
"22",0,353697.601614,2,"ROCKY FLATS INDUSTRIAL PARK (THORO - AERRCO - GWI) NA","ROCKY FLATS INDUSTRIAL PARK (THORO - AERRCO - GWI)",4.86089537,"COD980807374",1
"23",0,353697.601614,2,"ROCKY FLATS INDUSTRIAL PARK (THORO - AERRCO - GWI) NA","ROCKY FLATS INDUSTRIAL PARK (THORO - AERRCO - GWI)",4.8609014,"COD980807374",1
"24",0,353856.912331,2,"ROCKY FLATS PLANT (USDOE) Rocky Flats Plant (USDOE) Site Boundary","ROCKY FLATS PLANT (USDOE)",6538.29692163,"CO7890010526",1
"25",0,354007.339667,2,"ASARCO, INC. (GLOBE PLANT) NA","ASARCO, INC. (GLOBE PLANT)",1006.12320584,"COD007063530",1
"26",0,355605.064138,2,"ASARCO, INC. (GLOBE PLANT) NA","ASARCO, INC. (GLOBE PLANT)",81.52862967,"COD007063530",1
"27",0,355895.695865,2,"BRODERICK WOOD PRODUCTS Bounday of former Broderick Wood Products Property","BRODERICK WOOD PRODUCTS",66.20643357,"COD000110254",1
"28",0,356989.898988,2,"CHEMICAL SALES CO. Chemical Sales Co. Superfund Site Boundary","CHEMICAL SALES CO.",3928.56816049,"COD007431620",1
"29",0,357246.238814,2,"SAND CREEK INDUSTRIAL Sand Creek Industrial Site Map","SAND CREEK INDUSTRIAL",496.14042399,"COD980717953",1
"30",0,357571.515985,2,"WOODBURY CHEMICAL CO. NA","WOODBURY CHEMICAL CO.",14.09872742,"COD980667075",1
"31",0,357571.516037,2,"WOODBURY CHEMICAL CO. NA","WOODBURY CHEMICAL CO.",14.09871919,"COD980667075",1
"32",0,359738.825745,2,"ROCKY MOUNTAIN ARSENAL (USARMY) RMA On-Post Operable Unit Boundary","ROCKY MOUNTAIN ARSENAL (USARMY)",16909.8896979,"CO5210020769",1
"33",0,361795.272026,3,"MARSHALL LANDFILL Marshall Landfill NPL Boundary","MARSHALL LANDFILL",150.34854589,"COD980499255",1
"34",0,362958.477816,6,"CAPTAIN JACK MILL NA","CAPTAIN JACK MILL",39.72839418,"COD981551427",1
"35",1,0.282298864156,1,"NATIONAL ZINC CORP. NATIONAL ZINC CORP.","NATIONAL ZINC CORP.",162.964999442,"OKD000829440",1
"36",1,3030.8696125,1,"SAND SPRINGS PETROCHEMICAL COMPLEX SAND SPRINGS PETROCHEMICAL COMPLEX","SAND SPRINGS PETROCHEMICAL COMPLEX",203.980605515,"OKD980748446",1
"37",1,3508.35358014,1,"COMPASS INDUSTRIES (AVERY DRIVE) COMPASS INDUSTRIES LANDFILL (Avery Dr.)","COMPASS INDUSTRIES (AVERY DRIVE)",68.69737551,"OKD980620983",1
"38",1,13344.4055635,1,"TULSA FUEL AND MANUFACTURING TULSA FUEL AND MANUFACTURING","TULSA FUEL AND MANUFACTURING",52.7840895958,"OKD987096195",1
"39",1,27036.2480439,1,"ARKANSAS CITY DUMP Arkansas City Dump Superfund Site Boundary","ARKANSAS CITY DUMP",0.232343486783,"KSD980500789",1
"40",1,30603.8301169,1,"STROTHER FIELD INDUSTRIAL PARK OU1 for Strother Field Ind Park Superfund Site","STROTHER FIELD INDUSTRIAL PARK",0.283712011625,"KSD980862726",1
"41",1,36521.4214653,2,"WILCOX OIL COMPANY WILCOX OIL COMPANY","WILCOX OIL COMPANY",29.3215945,"OK0001010917",1
"42",1,39623.4623181,4,"HUDSON REFINERY HUDSON REFINERY","HUDSON REFINERY",179.800001293,"OKD082471988",1
"43",1,79940.5468383,7,"HENRYETTA IRON AND METAL HENRYETTA IRON AND METAL","HENRYETTA IRON AND METAL",1.42022491,"OKN000607147",1
"44",1,93404.233939,1,"PESTER REFINERY CO. Pester Refinery Co.","PESTER REFINERY CO.",0.248381403335,"KSD000829846",1
"45",1,96033.7967471,1,"JOHNS' SLUDGE POND OU1 Landfill Cap for John's Sludge Pond Site","JOHNS' SLUDGE POND",0.00273649838815,"KSD980631980",1
"46",1,98705.9700034,1,"BIG RIVER SAND CO. Site Property","BIG RIVER SAND CO.",0.153944841058,"KSD980686174",1
"47",1,99207.9484447,10,"CHEROKEE COUNTY Cherokee County","CHEROKEE COUNTY",155.506883905,"KSD980741862",1
"48",1,123218.738138,10,"ORONOGO-DUENWEG MINING BELT Oronogo Duenweg Mining Belt Site Boundary","ORONOGO-DUENWEG MINING BELT",240.75109105,"MOD980686281",1
"49",1,151417.252048,1,"OBEE ROAD Obee Road","OBEE ROAD",1.74701167485,"KSD980631766",1
"50",1,180660.500711,9,"INDUSTRIAL WASTE CONTROL INDUSTRIAL WASTE CONTROL","INDUSTRIAL WASTE CONTROL",13.17681084,"ARD980496368",1
"51",1,236792.592815,10,"MID-SOUTH WOOD PRODUCTS MID-SOUTH WOOD PRODUCTS","MID-SOUTH WOOD PRODUCTS",100.83444808,"ARD092916188",1
"52",1,237991.317943,2,"PLATING, INC. Plating Inc.","PLATING, INC.",0.00284616521923,"KSD065735912",1
"53",1,278330.924419,3,"WRIGHT GROUND WATER CONTAMINATION OU1 for Wright GW Contamination Superfund Site","WRIGHT GROUND WATER CONTAMINATION",0.18302816189,"KSD984985929",1
"54",2,0,1,"TAR CREEK (OTTAWA COUNTY) TAR CREEK","TAR CREEK (OTTAWA COUNTY)",310166.646593,"OKD980629844",1
"55",2,3600.1125801,1,"CHEROKEE COUNTY Cherokee County","CHEROKEE COUNTY",155.506883905,"KSD980741862",1
"56",2,13770.895428,3,"NEWTON COUNTY MINE TAILINGS Newton County Mine Tailings","NEWTON COUNTY MINE TAILINGS",628.263671373,"MOD981507585",1
"57",2,17041.1600802,1,"ORONOGO-DUENWEG MINING BELT Oronogo Duenweg Mining Belt Site Boundary","ORONOGO-DUENWEG MINING BELT",240.75109105,"MOD980686281",1
"58",2,27406.123775,2,"NEWTON COUNTY WELLS Newton County Wells Site Boundary","NEWTON COUNTY WELLS",0.438284557759,"MOD985798339",1
"59",2,133628.113008,2,"NORTH-U DRIVE WELL CONTAMINATION Impacted Wells","NORTH-U DRIVE WELL CONTAMINATION",0.0000349522133724,"MOD007163108",1
"60",2,149267.4788,3,"COMPASS PLAZA WELL TCE Operable Units 1 & 2 - Compass Plaza Well TCE site","COMPASS PLAZA WELL TCE",2.02909991255,"MON000706143",1
"61",2,151688.219863,3,"ARKWOOD, INC. ARKWOOD, INC.","ARKWOOD, INC.",15.95233301,"ARD084930148",1
"62",2,284276.74262,2,"VIENNA WELLS Former Langenburg Hat Factory","VIENNA WELLS",0.0120014313485,"MON000705803",1
"63",2,331836.720898,9,"VERTAC, INC. VERTAC, INC.","VERTAC, INC.",110.10318227,"ARD000023440",1
"64",2,336503.695516,2,"WASHINGTON COUNTY LEAD DISTRICT - FURNACE CREEK Washington County Lead District ΓÇô Furnace Creek","WASHINGTON COUNTY LEAD DISTRICT - FURNACE CREEK",534.197780136,"MON000705842",1
"65",2,343750.438837,2,"OAK GROVE VILLAGE WELL Oak Grove Village Well Area of Concern","OAK GROVE VILLAGE WELL",13.9242059708,"MOD981717036",1
"66",2,350885.86606,10,"CECIL LINDSEY CECIL LINDSEY SITE","CECIL LINDSEY",8.85795104,"ARD980496186",1
"67",2,356036.785437,3,"FRIT INDUSTRIES FRIT INDUSTRIES","FRIT INDUSTRIES",36.913866,"ARD059636456",1
"68",2,360181.488065,2,"WASHINGTON COUNTY LEAD DISTRICT - OLD MINES Washington County Lead District ΓÇô Old Mines","WASHINGTON COUNTY LEAD DISTRICT - OLD MINES",119.56735882,"MON000705027",1
"69",2,363328.514604,3,"ANNAPOLIS LEAD MINE Annapolis Lead Mine Superfund Site","ANNAPOLIS LEAD MINE",8.8338243731,"MO0000958611",1
"70",2,364558.392444,2,"WASHINGTON COUNTY LEAD DISTRICT - POTOSI Washington County Lead District ΓÇô Potosi","WASHINGTON COUNTY LEAD DISTRICT - POTOSI",63.8863213561,"MON000705023",1
"71",2,364590.690012,2,"WASHINGTON COUNTY LEAD DISTRICT - RICHWOODS Washington County Lead District ΓÇô Richwoods","WASHINGTON COUNTY LEAD DISTRICT - RICHWOODS",44.8699369729,"MON000705032",1
"72",2,373268.944693,2,"BIG RIVER MINE TAILINGS/ST. JOE MINERALS CORP. Big River Mine Tailings Superfund Site","BIG RIVER MINE TAILINGS/ST. JOE MINERALS CORP.",440.151457569,"MOD981126899",1
"73",2,375444.255534,2,"SPORLAN VALVE PLANT #1 Source Property Boundary","SPORLAN VALVE PLANT #1",0.00637151358128,"MON000703541",1
"74",2,378370.19685,2,"SOUTHWEST JEFFERSON COUNTY MINING Southwest Jefferson County Mining Site","SOUTHWEST JEFFERSON COUNTY MINING",661.180262406,"MON000705443",1
"75",2,399461.687814,4,"WELDON SPRING FORMER ARMY ORDNANCE WORKS WS Training Area GW Use Restriction Areas","WELDON SPRING FORMER ARMY ORDNANCE WORKS",5.99881674118,"MO5210021288",1
"76",2,401620.125035,6,"SHENANDOAH STABLES Shenandoah Stables Superfund Site Boundary","SHENANDOAH STABLES",0.0290797395825,"MOD980685838",1
"77",2,403839.553902,2,"TIMES BEACH Times Beach Superfund Site Boundary","TIMES BEACH",0.961046490052,"MOD980685226",1
"78",2,409419.061504,3,"ELLISVILLE SITE Ellisville Superfund Site","ELLISVILLE SITE",0.0104783101853,"MOD980633010",1
"79",2,412203.459888,2,"MINKER/STOUT/ROMAINE CREEK Minker, Stout and Romaine Creek sites","MINKER/STOUT/ROMAINE CREEK",0.0334542177982,"MOD980741912",1
"80",2,416385.348601,3,"VALLEY PARK TCE Site Properties of OU01 and OU02","VALLEY PARK TCE",0.00409663079933,"MOD980968341",1
"81",2,429549.163465,4,"WESTLAKE LANDFILL West Lake Landfill OUs 1, 2, and 3","WESTLAKE LANDFILL",0.396260525137,"MOD079900932",1
"82",2,440828.259952,4,"SAUGET AREA 2 Sauget Area 2 Site Q","SAUGET AREA 2",332.357357938,"ILD000605790",1
"83",2,443537.160184,4,"SAUGET AREA 1 Sauget Area 1 Site I","SAUGET AREA 1",23.4876773235,"ILD980792006",1
"84",2,446547.436067,4,"NL INDUSTRIES/TARACORP LEAD SMELTER NL Industries Property Line","NL INDUSTRIES/TARACORP LEAD SMELTER",2193.041254,"ILD096731468",1
"85",2,447275.083302,4,"ALCOA PROPERTIES Alcoa Properties Site Boundary","ALCOA PROPERTIES",671.280302452,"ILSFN0508010",1
"86",2,449346.751234,4,"OLD AMERICAN ZINC PLANT Old American Zinc Plant Facility Area Boundary","OLD AMERICAN ZINC PLANT",260.098943484,"IL0000034355",1
"87",2,450206.623841,4,"JENNISON-WRIGHT CORPORATION Jennison-Wright Corp. North Site Boundary","JENNISON-WRIGHT CORPORATION",16.821282969,"ILD006282479",1
"88",2,457930.893969,4,"CHEMETCO Chemetco Inc Site Boundary OU2","CHEMETCO",355.41418,"ILD048843809",1
"89",2,464892.543678,3,"MISSOURI ELECTRIC WORKS Fomer location of the Missouri Electric Works, Inc","MISSOURI ELECTRIC WORKS",0.00992821778492,"MOD980965982",1
"90",2,471025.060248,3,"KEM-PEST LABORATORIES Kem-Pest Laboratories","KEM-PEST LABORATORIES",0.00331636606468,"MOD980631113",1
"91",2,472772.193966,6,"ILADA ENERGY CO. Ilada Energy Co Site Boundary","ILADA ENERGY CO.",28.5149843425,"ILD980996789",1
"92",2,503232.86863,6,"CIRCLE SMELTING CORP. Circle Smelting Corp. Superfund Site Boundary","CIRCLE SMELTING CORP.",874.677028,"ILD050231976",1
"93",2,529486.423211,7,"SANDOVAL ZINC COMPANY SZC Site Boundary ΓÇô Village of Sandoval","SANDOVAL ZINC COMPANY",759.060571107,"ILD053980454",1
"94",3,0,1,"TAR CREEK (OTTAWA COUNTY) TAR CREEK","TAR CREEK (OTTAWA COUNTY)",310166.646593,"OKD980629844",1
"95",3,12090.527951,2,"CHEROKEE COUNTY Cherokee County","CHEROKEE COUNTY",155.506883905,"KSD980741862",1
"96",3,22907.7814409,6,"NEWTON COUNTY MINE TAILINGS Newton County Mine Tailings","NEWTON COUNTY MINE TAILINGS",628.263671373,"MOD981507585",1
"97",3,29436.8023073,3,"ORONOGO-DUENWEG MINING BELT Oronogo Duenweg Mining Belt Site Boundary","ORONOGO-DUENWEG MINING BELT",240.75109105,"MOD980686281",1
"98",3,38657.2914374,4,"NEWTON COUNTY WELLS Newton County Wells Site Boundary","NEWTON COUNTY WELLS",0.438284557759,"MOD985798339",1
"99",3,100721.817514,10,"NATIONAL ZINC CORP. NATIONAL ZINC CORP.","NATIONAL ZINC CORP.",162.964999442,"OKD000829440",1
"100",3,144750.379269,4,"NORTH-U DRIVE WELL CONTAMINATION Impacted Wells","NORTH-U DRIVE WELL CONTAMINATION",0.0000349522133724,"MOD007163108",1
"101",3,157428.626398,6,"ARKWOOD, INC. ARKWOOD, INC.","ARKWOOD, INC.",15.95233301,"ARD084930148",1
"102",3,159436.753143,5,"COMPASS PLAZA WELL TCE Operable Units 1 & 2 - Compass Plaza Well TCE site","COMPASS PLAZA WELL TCE",2.02909991255,"MON000706143",1
"103",3,255447.1631,9,"OLD MIDLAND PRODUCTS MIDLAND PRODUCTS","OLD MIDLAND PRODUCTS",37.61477279,"ARD980745665",1
"104",3,296392.569498,4,"VIENNA WELLS Former Langenburg Hat Factory","VIENNA WELLS",0.0120014313485,"MON000705803",1
"105",3,347642.422148,4,"WASHINGTON COUNTY LEAD DISTRICT - FURNACE CREEK Washington County Lead District ΓÇô Furnace Creek","WASHINGTON COUNTY LEAD DISTRICT - FURNACE CREEK",534.197780136,"MON000705842",1
"106",3,355602.603411,4,"OAK GROVE VILLAGE WELL Oak Grove Village Well Area of Concern","OAK GROVE VILLAGE WELL",13.9242059708,"MOD981717036",1
"107",3,362962.14126,6,"FRIT INDUSTRIES FRIT INDUSTRIES","FRIT INDUSTRIES",36.913866,"ARD059636456",1
"108",3,371729.673571,4,"WASHINGTON COUNTY LEAD DISTRICT - OLD MINES Washington County Lead District ΓÇô Old Mines","WASHINGTON COUNTY LEAD DISTRICT - OLD MINES",119.56735882,"MON000705027",1
"109",3,373614.21349,5,"ANNAPOLIS LEAD MINE Annapolis Lead Mine Superfund Site","ANNAPOLIS LEAD MINE",8.8338243731,"MO0000958611",1
"110",3,375889.44551,4,"WASHINGTON COUNTY LEAD DISTRICT - POTOSI Washington County Lead District ΓÇô Potosi","WASHINGTON COUNTY LEAD DISTRICT - POTOSI",63.8863213561,"MON000705023",1
"111",3,376248.137011,4,"WASHINGTON COUNTY LEAD DISTRICT - RICHWOODS Washington County Lead District ΓÇô Richwoods","WASHINGTON COUNTY LEAD DISTRICT - RICHWOODS",44.8699369729,"MON000705032",1
"112",3,384096.934506,4,"BIG RIVER MINE TAILINGS/ST. JOE MINERALS CORP. Big River Mine Tailings Superfund Site","BIG RIVER MINE TAILINGS/ST. JOE MINERALS CORP.",440.151457569,"MOD981126899",1
"113",3,387543.384076,4,"SPORLAN VALVE PLANT #1 Source Property Boundary","SPORLAN VALVE PLANT #1",0.00637151358128,"MON000703541",1
"114",3,390061.982794,4,"SOUTHWEST JEFFERSON COUNTY MINING Southwest Jefferson County Mining Site","SOUTHWEST JEFFERSON COUNTY MINING",661.180262406,"MON000705443",1
"115",3,411601.904134,6,"WELDON SPRING FORMER ARMY ORDNANCE WORKS WS Training Area GW Use Restriction Areas","WELDON SPRING FORMER ARMY ORDNANCE WORKS",5.99881674118,"MO5210021288",1
"116",3,415778.289984,5,"TIMES BEACH Times Beach Superfund Site Boundary","TIMES BEACH",0.961046490052,"MOD980685226",1
"117",3,421433.329335,6,"ELLISVILLE SITE Ellisville Superfund Site","ELLISVILLE SITE",0.0104783101853,"MOD980633010",1
"118",3,424039.345373,4,"MINKER/STOUT/ROMAINE CREEK Minker, Stout and Romaine Creek sites","MINKER/STOUT/ROMAINE CREEK",0.0334542177982,"MOD980741912",1
"119",3,428328.90233,6,"VALLEY PARK TCE Site Properties of OU01 and OU02","VALLEY PARK TCE",0.00409663079933,"MOD980968341",1
"120",3,441642.601233,7,"WESTLAKE LANDFILL West Lake Landfill OUs 1, 2, and 3","WESTLAKE LANDFILL",0.396260525137,"MOD079900932",1
"121",3,452714.869402,6,"SAUGET AREA 2 Sauget Area 2 Site Q","SAUGET AREA 2",332.357357938,"ILD000605790",1
"122",3,455422.634396,6,"SAUGET AREA 1 Sauget Area 1 Site I","SAUGET AREA 1",23.4876773235,"ILD980792006",1
"123",3,458494.74836,6,"NL INDUSTRIES/TARACORP LEAD SMELTER NL Industries Property Line","NL INDUSTRIES/TARACORP LEAD SMELTER",2193.041254,"ILD096731468",1
"124",3,459160.881268,6,"ALCOA PROPERTIES Alcoa Properties Site Boundary","ALCOA PROPERTIES",671.280302452,"ILSFN0508010",1
"125",3,461259.636959,6,"OLD AMERICAN ZINC PLANT Old American Zinc Plant Facility Area Boundary","OLD AMERICAN ZINC PLANT",260.098943484,"IL0000034355",1
"126",3,462182.331936,6,"JENNISON-WRIGHT CORPORATION Jennison-Wright Corp. North Site Boundary","JENNISON-WRIGHT CORPORATION",16.821282969,"ILD006282479",1
"127",3,469952.882932,8,"CHEMETCO Chemetco Inc Site Boundary OU2","CHEMETCO",355.41418,"ILD048843809",1
"128",3,474903.062668,7,"MISSOURI ELECTRIC WORKS Fomer location of the Missouri Electric Works, Inc","MISSOURI ELECTRIC WORKS",0.00992821778492,"MOD980965982",1
"129",3,481123.321602,8,"KEM-PEST LABORATORIES Kem-Pest Laboratories","KEM-PEST LABORATORIES",0.00331636606468,"MOD980631113",1
"130",3,482727.674483,9,"ILADA ENERGY CO. Ilada Energy Co Site Boundary","ILADA ENERGY CO.",28.5149843425,"ILD980996789",1
"131",3,514937.312322,8,"CIRCLE SMELTING CORP. Circle Smelting Corp. Superfund Site Boundary","CIRCLE SMELTING CORP.",874.677028,"ILD050231976",1
"132",3,541119.853833,10,"SANDOVAL ZINC COMPANY SZC Site Boundary ΓÇô Village of Sandoval","SANDOVAL ZINC COMPANY",759.060571107,"ILD053980454",1
"133",4,0,1,"TAR CREEK (OTTAWA COUNTY) TAR CREEK","TAR CREEK (OTTAWA COUNTY)",310166.646593,"OKD980629844",1
"134",4,12747.5602195,3,"CHEROKEE COUNTY Cherokee County","CHEROKEE COUNTY",155.506883905,"KSD980741862",1
"135",4,23822.5174485,7,"NEWTON COUNTY MINE TAILINGS Newton County Mine Tailings","NEWTON COUNTY MINE TAILINGS",628.263671373,"MOD981507585",1
"136",4,30562.5823743,6,"ORONOGO-DUENWEG MINING BELT Oronogo Duenweg Mining Belt Site Boundary","ORONOGO-DUENWEG MINING BELT",240.75109105,"MOD980686281",1
"137",4,39752.0354788,7,"NEWTON COUNTY WELLS Newton County Wells Site Boundary","NEWTON COUNTY WELLS",0.438284557759,"MOD985798339",1
"138",4,99718.3190998,8,"NATIONAL ZINC CORP. NATIONAL ZINC CORP.","NATIONAL ZINC CORP.",162.964999442,"OKD000829440",1
"139",4,145819.746909,7,"NORTH-U DRIVE WELL CONTAMINATION Impacted Wells","NORTH-U DRIVE WELL CONTAMINATION",0.0000349522133724,"MOD007163108",1
"140",4,158101.607024,8,"ARKWOOD, INC. ARKWOOD, INC.","ARKWOOD, INC.",15.95233301,"ARD084930148",1
"141",4,160442.973098,7,"COMPASS PLAZA WELL TCE Operable Units 1 & 2 - Compass Plaza Well TCE site","COMPASS PLAZA WELL TCE",2.02909991255,"MON000706143",1
"142",4,203701.196161,9,"PESTER REFINERY CO. Pester Refinery Co.","PESTER REFINERY CO.",0.248381403335,"KSD000829846",1
"143",4,255463.306644,10,"OLD MIDLAND PRODUCTS MIDLAND PRODUCTS","OLD MIDLAND PRODUCTS",37.61477279,"ARD980745665",1
"144",4,297513.971564,7,"VIENNA WELLS Former Langenburg Hat Factory","VIENNA WELLS",0.0120014313485,"MON000705803",1
"145",4,348708.396432,7,"WASHINGTON COUNTY LEAD DISTRICT - FURNACE CREEK Washington County Lead District ΓÇô Furnace Creek","WASHINGTON COUNTY LEAD DISTRICT - FURNACE CREEK",534.197780136,"MON000705842",1
"146",4,356711.370669,7,"OAK GROVE VILLAGE WELL Oak Grove Village Well Area of Concern","OAK GROVE VILLAGE WELL",13.9242059708,"MOD981717036",1
"147",4,363711.948129,9,"FRIT INDUSTRIES FRIT INDUSTRIES","FRIT INDUSTRIES",36.913866,"ARD059636456",1
"148",4,372821.13759,7,"WASHINGTON COUNTY LEAD DISTRICT - OLD MINES Washington County Lead District ΓÇô Old Mines","WASHINGTON COUNTY LEAD DISTRICT - OLD MINES",119.56735882,"MON000705027",1
"149",4,374621.511009,7,"ANNAPOLIS LEAD MINE Annapolis Lead Mine Superfund Site","ANNAPOLIS LEAD MINE",8.8338243731,"MO0000958611",1
"150",4,376967.522642,7,"WASHINGTON COUNTY LEAD DISTRICT - POTOSI Washington County Lead District ΓÇô Potosi","WASHINGTON COUNTY LEAD DISTRICT - POTOSI",63.8863213561,"MON000705023",1
"151",4,377346.015282,7,"WASHINGTON COUNTY LEAD DISTRICT - RICHWOODS Washington County Lead District ΓÇô Richwoods","WASHINGTON COUNTY LEAD DISTRICT - RICHWOODS",44.8699369729,"MON000705032",1
"152",4,385141.893261,7,"BIG RIVER MINE TAILINGS/ST. JOE MINERALS CORP. Big River Mine Tailings Superfund Site","BIG RIVER MINE TAILINGS/ST. JOE MINERALS CORP.",440.151457569,"MOD981126899",1
"153",4,388663.957437,7,"SPORLAN VALVE PLANT #1 Source Property Boundary","SPORLAN VALVE PLANT #1",0.00637151358128,"MON000703541",1
"154",4,391161.782402,7,"SOUTHWEST JEFFERSON COUNTY MINING Southwest Jefferson County Mining Site","SOUTHWEST JEFFERSON COUNTY MINING",661.180262406,"MON000705443",1
"155",4,412724.112794,9,"WELDON SPRING FORMER ARMY ORDNANCE WORKS WS Training Area GW Use Restriction Areas","WELDON SPRING FORMER ARMY ORDNANCE WORKS",5.99881674118,"MO5210021288",1
"156",4,416891.371336,8,"TIMES BEACH Times Beach Superfund Site Boundary","TIMES BEACH",0.961046490052,"MOD980685226",1
"157",4,422550.075937,9,"ELLISVILLE SITE Ellisville Superfund Site","ELLISVILLE SITE",0.0104783101853,"MOD980633010",1
"158",4,425147.05304,7,"MINKER/STOUT/ROMAINE CREEK Minker, Stout and Romaine Creek sites","MINKER/STOUT/ROMAINE CREEK",0.0334542177982,"MOD980741912",1
"159",4,429442.20189,9,"VALLEY PARK TCE Site Properties of OU01 and OU02","VALLEY PARK TCE",0.00409663079933,"MOD980968341",1
"160",4,453825.206939,9,"SAUGET AREA 2 Sauget Area 2 Site Q","SAUGET AREA 2",332.357357938,"ILD000605790",1
"161",4,456532.907484,9,"SAUGET AREA 1 Sauget Area 1 Site I","SAUGET AREA 1",23.4876773235,"ILD980792006",1
"162",4,459608.185625,9,"NL INDUSTRIES/TARACORP LEAD SMELTER NL Industries Property Line","NL INDUSTRIES/TARACORP LEAD SMELTER",2193.041254,"ILD096731468",1
"163",4,460271.164423,9,"ALCOA PROPERTIES Alcoa Properties Site Boundary","ALCOA PROPERTIES",671.280302452,"ILSFN0508010",1
"164",4,462371.322018,9,"OLD AMERICAN ZINC PLANT Old American Zinc Plant Facility Area Boundary","OLD AMERICAN ZINC PLANT",260.098943484,"IL0000034355",1
"165",4,463297.16987,9,"JENNISON-WRIGHT CORPORATION Jennison-Wright Corp. North Site Boundary","JENNISON-WRIGHT CORPORATION",16.821282969,"ILD006282479",1
"166",4,475889.336046,10,"MISSOURI ELECTRIC WORKS Fomer location of the Missouri Electric Works, Inc","MISSOURI ELECTRIC WORKS",0.00992821778492,"MOD980965982",1
"167",4,482115.928295,10,"KEM-PEST LABORATORIES Kem-Pest Laboratories","KEM-PEST LABORATORIES",0.00331636606468,"MOD980631113",1
"168",4,483709.845418,10,"ILADA ENERGY CO. Ilada Energy Co Site Boundary","ILADA ENERGY CO.",28.5149843425,"ILD980996789",1
"169",5,0,1,"TAR CREEK (OTTAWA COUNTY) TAR CREEK","TAR CREEK (OTTAWA COUNTY)",310166.646593,"OKD980629844",1
"170",5,13033.558251,4,"CHEROKEE COUNTY Cherokee County","CHEROKEE COUNTY",155.506883905,"KSD980741862",1
